Month,Year,no2 Concentration,no2 TrimestralConcentration,UnitOfMeasurement
01,2013,31.791779177917793,,µg/m3
02,2013,28.32132293627319,,µg/m3
03,2013,23.351738721804512,27.821613611998497,µg/m3
04,2013,23.69688083177819,25.123314163285297,µg/m3
05,2013,18.19205882352941,21.746892792370705,µg/m3
06,2013,20.213006845708268,20.700648833671956,µg/m3
07,2013,19.660081907973982,19.355049192403886,µg/m3
08,2013,23.103316630875685,20.99213512818598,µg/m3
09,2013,22.411458333333332,21.724952290727668,µg/m3
10,2013,28.722620977078027,24.745798647095683,µg/m3
11,2013,34.8581809657759,28.664086758729088,µg/m3
12,2013,37.66990291262136,33.75023495182509,µg/m3
01,2014,32.334466349422165,34.95418340927314,µg/m3
02,2014,26.220326223337516,32.074898495127016,µg/m3
03,2014,26.089134524929445,28.214642365896374,µg/m3
04,2014,24.913764510779437,25.7410750863488,µg/m3
05,2014,21.858799454297408,24.287232830002097,µg/m3
06,2014,20.30429477794046,22.358952914339103,µg/m3
07,2014,19.616428738591154,20.593174323609674,µg/m3
08,2014,20.63855421686747,20.18642591113303,µg/m3
09,2014,21.78970286885246,20.681561941437028,µg/m3
10,2014,30.914427157001416,24.447561414240447,µg/m3
11,2014,28.453226613306654,27.05245221305351,µg/m3
12,2014,34.021451392058424,31.12970172078883,µg/m3
01,2015,37.135079959169786,33.20325265484495,µg/m3
02,2015,30.04490566037736,33.733812337201854,µg/m3
03,2015,30.891356337546977,32.69044731903138,µg/m3
04,2015,26.041918294849022,28.992726764257785,µg/m3
05,2015,26.92891156462585,27.95406206567395,µg/m3
06,2015,24.721006564551423,25.897278808008764,µg/m3
07,2015,23.893501190881253,25.181139773352843,µg/m3
08,2015,18.809507640067913,22.474671798500196,µg/m3
09,2015,25.147286821705425,22.61676521755153,µg/m3
10,2015,30.958731241473398,24.971841901082247,µg/m3
11,2015,38.48892284186402,31.531646968347612,µg/m3
12,2015,46.61589635854342,38.68785014729361,µg/m3
01,2016,32.371428571428574,39.15874925727867,µg/m3
02,2016,28.155806334182746,35.71437708805158,µg/m3
03,2016,28.881171263193735,29.80280205626835,µg/m3
04,2016,24.903991370010786,27.31365632246242,µg/m3
05,2016,23.903485254691688,25.89621596263207,µg/m3
06,2016,25.075154004106775,24.627543542936415,µg/m3
07,2016,22.726308345120227,23.90164920130623,µg/m3
08,2016,21.106560485400077,22.969340944875693,µg/m3
09,2016,31.008812421317668,24.94722708394599,µg/m3
10,2016,29.963732681336595,27.35970186268478,µg/m3
11,2016,34.03425892535161,31.668934676001957,µg/m3
12,2016,35.32141641130405,33.10646933933075,µg/m3
01,2017,42.24642957154859,37.20070163606808,µg/m3
02,2017,30.163601775523144,35.91048258612526,µg/m3
03,2017,30.12740252608457,34.17914462438544,µg/m3
04,2017,26.68252181255277,28.991175371386827,µg/m3
05,2017,23.610319270239454,26.8067478696256,µg/m3
06,2017,23.332674385766733,24.54183848951965,µg/m3
07,2017,23.8972354091036,23.61340968836993,µg/m3
08,2017,24.361307901907356,23.86373923225923,µg/m3
09,2017,29.60051472690878,25.953019345973246,µg/m3
10,2017,38.65662474407721,30.87281579096445,µg/m3
11,2017,44.08721624850657,37.44811857316419,µg/m3
12,2017,36.534140017286084,39.759327003289954,µg/m3
